individualPosition,gameStarttimeTSamp,同隊-TOP,同隊-JUNGLE,同隊-MIDDLE,同隊-BOTTOM,同隊-UTILITY,敵隊-TOP,敵隊-JUNGLE,敵隊-MIDDLE,敵隊-BOTTOM,敵隊-UTILITY,timePlayed,勝負,擊殺,死亡,助攻,CS,經濟-TOP,經濟-JUNGLE,經濟-MIDDLE,經濟-BOTTOM,經濟-UTILITY,傷害-TOP,傷害-JUNGLE,傷害-MIDDLE,傷害-BOTTOM,傷害-UTILITY,承傷-TOP,承傷-JUNGLE,承傷-MIDDLE,承傷-BOTTOM,承傷-UTILITY,firstBloodKill,firstBloodAssist,controlWardsPlaced,wardsPlaced,visionScore,visionScorePerMinute,wardsKilled,dragonkills,teamId,隊伍擊殺數,隊伍死亡數,teamRiftHeraldKills,teamDragon,teamElderDragonKills,teamBaronKills
TOP,2022/05/13 23:57:37,Teemo,Viego,Yasuo,Tristana,Galio,Garen,MasterYi,Yone,Lucian,Xerath,2745,True,5,8,7,257,16796,14888,25405,17355,14043,47635,7702,36966,17435,19161,41342,39456,32378,23928,34532,False,False,1,7,22,0.49388942598433405,4,0,200,34,34,2,4,0,3
BOTTOM,2022/05/13 23:33:35,Jax,Diana,Pantheon,Vayne,Yuumi,Renekton,Poppy,Sylas,Ezreal,Morgana,1022,False,1,8,3,73,5196,6405,4670,5117,4406,5232,2728,6168,4595,4550,8302,9411,12777,13799,5243,False,False,0,4,6,0.3823965862141068,1,0,100,9,24,1,0,0,0
TOP,2022/05/11 00:27:43,Nasus,Fizz,Yasuo,Lucian,Leona,Yorick,Hecarim,Ahri,Samira,Nautilus,1855,True,1,5,12,200,11947,14604,12407,15896,8333,16125,20190,14253,33668,8585,35094,26436,19710,14277,22703,False,False,2,10,23,0.7551926095700099,3,0,200,36,22,0,3,0,1
BOTTOM,2022/05/11 00:03:00,Aatrox,Shyvana,Katarina,Tristana,Lux,Illaoi,Volibear,Singed,Jinx,Senna,1188,False,1,8,4,102,7416,8762,7618,6109,4344,11527,7976,9802,6203,6930,20417,19237,20865,13442,10885,False,False,1,6,10,0.5429030779376989,2,0,100,14,37,1,0,0,0
BOTTOM,2022/05/10 23:36:49,Yasuo,Evelynn,Zed,Twitch,Rell,Jayce,Lillia,Kaisa,Jinx,Leona,1180,True,10,5,3,129,9594,9042,8756,10017,6546,10720,7018,13015,13850,5294,10749,13506,9524,11467,10020,False,False,0,2,5,0.30391372279343154,2,0,200,31,15,1,2,0,0
BOTTOM,2022/05/08 01:07:34,Lillia,Rengar,Sylas,Vayne,Lux,Aatrox,MasterYi,Yone,Jhin,Ezreal,1674,False,10,12,6,119,7272,10857,13073,11708,8426,12430,14731,20928,20066,16502,19661,30052,33960,24364,18776,False,False,0,6,14,0.5101290584671111,2,0,100,36,50,1,3,0,0
BOTTOM,2022/05/08 00:29:47,Darius,Shaco,Viktor,Tristana,Karma,Yone,XinZhao,Ahri,Ezreal,Yuumi,1930,True,1,4,5,172,16348,14487,13300,11684,8266,18182,17881,38693,8949,3700,30077,34100,23472,21705,16626,False,False,3,11,31,0.9809081724411232,8,1,200,32,24,2,3,0,2
BOTTOM,2022/05/07 23:52:11,Jayce,Swain,Malzahar,Twitch,Yuumi,Yone,Zac,Ahri,Jhin,Lux,1808,False,13,11,4,177,11028,9793,10193,14621,6753,15042,14574,8647,19229,8031,23557,33958,22444,25903,12313,True,False,4,8,27,0.9038057432180647,7,0,200,26,45,0,0,0,0
BOTTOM,2022/05/06 00:40:50,Malphite,Nocturne,Cassiopeia,Vayne,Senna,Sett,Leblanc,LeeSin,Ashe,MissFortune,1653,False,7,7,5,121,7883,12738,9124,10253,8697,14384,19048,13870,11671,9888,21008,29444,24165,21882,18687,False,False,0,6,15,0.576954952102356,3,0,200,29,40,1,0,0,0
BOTTOM,2022/05/05 23:59:53,Yone,Diana,Yasuo,Tristana,Soraka,Gwen,Twitch,Jayce,Jhin,MissFortune,2057,True,13,6,5,236,17079,11776,17535,16481,8618,34242,20211,27456,17229,3493,30503,24847,36858,25627,18407,False,False,2,12,25,0.7321651772699022,3,0,100,36,42,2,2,0,1
